step,loss
200,5.693
400,2.035
600,1.555
800,1.2
1000,0.939
2000,0.502
3000,0.293
4000,0.229
5000,0.197
6000,0.175
7000,0.157
8000,0.146
9000,0.135
10000,0.127
11000,0.119
12000,0.113
13000,0.11
14000,0.105
15000,0.101
16000,0.096
17000,0.093
18000,0.09
19000,0.088
20000,0.086
21000,0.083
22000,0.082
23000,0.079
24000,0.077
25000,0.076
26000,0.074
27000,0.073
28000,0.071
29000,0.07
30000,0.07
31000,0.068
32000,0.067
33000,0.066
34000,0.065
35000,0.064
36000,0.063
37000,0.063
38000,0.061
39000,0.061
40000,0.06
41000,0.059
42000,0.057
43000,0.057
44000,0.057
45000,0.056
46000,0.056
47000,0.055
48000,0.055
49000,0.054
50000,0.053
